,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,76.73,78,30,10.29,PF,1645381136
1,Chui,-33.6971,-53.4616,82.02,58,77,14.67,UY,1645381197
2,Hermanus,-34.4187,19.2345,65.8,85,0,9.01,ZA,1645381091
3,Saldanha,-33.0117,17.9442,63.86,88,9,9.51,ZA,1645381198
4,Traiguén,-38.25,-72.6833,73.09,30,23,7.7,CL,1645381198
5,Port Alfred,-33.5906,26.891,69.73,75,6,9.95,ZA,1645381136
6,Ubari,26.5921,12.7805,65.98,15,72,9.91,LY,1645381198
7,Rome,43.2128,-75.4557,35.82,43,20,13.8,US,1645381135
9,Meulaboh,4.1363,96.1285,77.77,78,99,4.76,ID,1645381199
10,Quimper,48,-4.1,54.61,87,100,24.16,FR,1645381107
11,Finnsnes,69.2296,17.9811,18.21,93,90,5.73,NO,1645381199
12,Katsuura,35.1333,140.3,39.22,48,77,17.9,JP,1645381200
13,Atuona,-9.8,-139.0333,78.35,73,14,18.34,PF,1645380859
14,Ifo,6.8144,3.1958,84.38,61,98,9.44,NG,1645381200
15,Mataura,-46.1927,168.8643,45.48,96,85,2.28,NZ,1645381090
16,Tezu,27.9167,96.1667,56.12,74,88,4.03,IN,1645381201
17,Lumeje,-11.55,20.7833,65.44,96,96,3.69,AO,1645381202
18,Tubualá,9.5167,-79.0333,89.56,73,12,17.63,PA,1645381202
19,Busselton,-33.65,115.3333,63.05,73,84,13.44,AU,1645381203
20,Bloomingdale,27.8936,-82.2404,79.95,56,0,11.01,US,1645381203
21,Smithers,54.7804,-127.1743,30.52,93,100,5.75,CA,1645380969
22,Verkhnyaya Inta,65.9811,60.3094,20.12,89,100,5.41,RU,1645381203
23,Atasū,48.6814,71.6433,17.55,90,95,4.25,KZ,1645381204
24,Arco,45.9177,10.8867,54.84,69,82,1.61,IT,1645381204
25,Ushuaia,-54.8,-68.3,53.26,50,20,0,AR,1645380862
27,Punta Arenas,-53.15,-70.9167,51.91,71,40,6.91,CL,1645381095
28,Albany,42.6001,-73.9662,31.82,52,56,1.99,US,1645381207
29,Cape Town,-33.9258,18.4232,72.09,63,40,9.22,ZA,1645381031
30,Vila Velha,-20.3297,-40.2925,85.95,73,20,16.11,BR,1645381208
31,Tuktoyaktuk,69.4541,-133.0374,-32.8,68,0,6.91,CA,1645381208
32,Khatanga,71.9667,102.5,13.35,95,100,9.6,RU,1645381095
34,Lebu,-37.6167,-73.65,63.36,68,1,10.71,CL,1645381208
35,Tiznit Province,29.5833,-9.5,56.7,58,6,7.7,MA,1645381209
36,Lagoa,39.05,-27.9833,55.83,56,85,4.54,PT,1645381209
37,Avarua,-21.2078,-159.775,78.85,89,40,13.8,CK,1645381209
38,Thompson,55.7435,-97.8558,-23.64,57,0,13.8,CA,1645381078
39,Bredasdorp,-34.5322,20.0403,67.32,73,1,13.8,ZA,1645381210
40,Hervey Bay,-25.2986,152.8535,72.01,89,28,5.99,AU,1645381210
41,Barrow,71.2906,-156.7887,-29.18,68,100,11.5,US,1645381031
42,Saint-Jean-de-la-Ruelle,47.9113,1.8648,53.26,79,100,25.32,FR,1645381211
44,Ponta do Sol,32.6667,-17.1,63.23,67,74,11.21,PT,1645381211
45,Thibodaux,29.7958,-90.8229,68.02,65,7,8.01,US,1645381045
46,Tasiilaq,65.6145,-37.6368,21.36,67,100,4.76,GL,1645381212
47,Santa Quitéria,-4.3319,-40.1567,86.88,49,87,6.62,BR,1645381212
48,Bluff,-46.6,168.3333,45.81,86,84,6.51,NZ,1645381089
49,Raymond,43.9015,-70.4703,26.42,36,36,7.45,US,1645381212
50,Bengkulu,-3.8004,102.2655,76.06,89,100,3.44,ID,1645381094
51,Manono,-7.3,27.4167,69.37,94,59,2.26,CD,1645381273
53,Vaini,-21.2,-175.2,80.51,76,11,16.04,TO,1645381273
54,Haines Junction,60.7522,-137.5108,15.75,67,100,4.61,CA,1645381274
55,Laramie,41.3114,-105.5911,46.9,33,0,19.57,US,1645381274
56,Xichang,27.8964,102.2634,37.13,89,100,3.65,CN,1645381274
57,Dongsheng,39.8161,109.9776,9.05,63,0,3.15,CN,1645381275
58,Xining,36.6167,101.7667,18.07,52,100,2.73,CN,1645381275
60,Raudeberg,61.9875,5.1352,33.58,94,100,8.01,NO,1645381275
61,Luanda,-8.8368,13.2343,82.4,74,75,5.75,AO,1645381052
62,Puerto Ayora,-0.7393,-90.3518,85.96,84,67,8.99,EC,1645381276
63,Kruisfontein,-34.0033,24.7314,65.88,76,12,8.43,ZA,1645381276
66,Jamestown,42.097,-79.2353,39.52,27,0,18.41,US,1645381241
67,Benfleet,51.565,0.5558,53.98,83,75,38.99,GB,1645381277
69,Grand Gaube,-20.0064,57.6608,81.37,83,100,14,MU,1645381277
70,Carauari,-4.8828,-66.8958,80.83,89,100,3.38,BR,1645381278
71,Hobart,-42.8794,147.3294,53.46,56,75,10.36,AU,1645380970
